name,Sample,mark,seed_point_spacing,struts_diameter,relative_density_CAD,feature_size_mm_CAD,feature_size_um_CAD,feature_size_mm_sample,feature_size_um_sample,contatced_area_mm2_CAD,contatced_area_ratio_CAD,contacted_area_sample_mm2,contacted_ratio_sample,STATIC_COF,DYNAMIC_COF,WEAR
0,control,,,,1.0,,,,,1963495375,1.0,1963495375,1.0,0.2318,0.20365,12.219
0,control,,,,1.0,,,,,1963495375,1.0,1963495375,1.0,0.2523,0.2343,1.027
0,control,,,,1.0,,,,,1963495375,1.0,1963495375,1.0,0.2411,0.2154,1.183
1,4035,1.0,0.4,0.35,0.963634745,0.09695743,9695743,0.205413374,2054133735,1787192976,0.910209924,1542048201,0.785358713,0.13495,0.0842,1.034
1,4035,2.0,0.4,0.35,0.963634745,0.09695743,9695743,0.145897695,1458976949,1787192976,0.910209924,1701813824,0.866726678,0.20465,0.17915,0.53745
1,4035,0.0,0.4,0.35,0.963634745,0.09695743,9695743,0.125786269,1257862693,1787192976,0.910209924,1814727871,0.924233331,,,
2,5035,1.0,0.5,0.35,0.908426052,0.16100265,16100265,0.20626699,2062669899,1657693551,0.844256407,1463923559,0.745570159,0.28505,0.2083,0.542
2,5035,2.0,0.5,0.35,0.908426052,0.16100265,16100265,0.249020187,2490201872,1657693551,0.844256407,1260663651,0.642050736,0.191,0.15465,0.46395
2,5035,0.0,0.5,0.35,0.908426052,0.16100265,16100265,0.168836456,1688364558,1657693551,0.844256407,1513207037,0.770670029,0.1498,0.13026087,0.260521739
3,6035,1.0,0.6,0.35,0.772683799,0.26236534,26236534,0.298708274,2987082743,1475377047,0.751403373,1352521218,0.688833412,0.16085,0.15265,0.621
3,6035,2.0,0.6,0.35,0.772683799,0.26236534,26236534,0.214944572,2149445725,1475377047,0.751403373,141944917,0.722919538,0.20615,0.1694,0.847
3,6035,0.0,0.6,0.35,0.772683799,0.26236534,26236534,0.201790663,2017906625,1475377047,0.751403373,1325600953,0.675123033,0.0432,0.037565217,0.093913043
4,7035,1.0,0.7,0.35,0.672728297,0.33099017,33099017,0.297573379,2975733788,1326080868,0.675367452,1321871461,0.673223618,0.1347,0.08505,0.37
4,7035,2.0,0.7,0.35,0.672728297,0.33099017,33099017,0.289216339,2892163394,1326080868,0.675367452,1325849195,0.675249461,0.20035,0.17505,0.52515
